station_id,station_name,arrond_name,arrond_abbrev,arrond_area
6701,Stanley / Sherbrooke,Ville-Marie,VM,21500631.743203
6702,Métro Assomption (Chauveau / de l'Assomption),Mercier-Hochelaga-Maisonneuve,MH,27408411.8682898
6703,Jardin Botanique (Pie-IX / Sherbrooke),Rosemont-La Petite-Patrie,RO,15886530.2734387
6704,19e avenue / St-Zotique,Rosemont-La Petite-Patrie,RO,15886530.2734387
6705,5e avenue / Bannantyne,Verdun,VD,22328673.5349607
6706,Beatty / de Verdun,Verdun,VD,22328673.5349607
6707,Métro Jolicoeur (Drake / de Sève),Le Sud-Ouest,SO,18144269.4942672
6709,Le Caron / Marc-Sauvalle ,Le Sud-Ouest,SO,18144269.4942672
6710,Chambord / Fleury,Ahuntsic-Cartierville,AC,25571187.4830152
6711,Alexandra / Waverly,Rosemont-La Petite-Patrie,RO,15886530.2734387
6712,LaSalle / Crawford,Verdun,VD,22328673.5349607
6713,29e avenue / St-Zotique,Rosemont-La Petite-Patrie,RO,15886530.2734387
6714,LaSalle / 90e avenue,LaSalle,LS,25197267.8224814
6715,Natatorium (LaSalle / Rolland),Verdun,VD,22328673.5349607
6716,Francis / Fleury,Ahuntsic-Cartierville,AC,25571187.4830152
6717,de Kent / Victoria,Côte-des-Neiges-Notre-Dame-de-Grâce,CN,21483754.6915099
6718,Grand Boulevard / Sherbrooke,Côte-des-Neiges-Notre-Dame-de-Grâce,CN,21483754.6915099
6719,Park Row O / Sherbrooke,Côte-des-Neiges-Notre-Dame-de-Grâce,CN,21483754.6915099
6720,Ontario / Viau,Mercier-Hochelaga-Maisonneuve,MH,27408411.8682898
6721,Métro Cadillac (de Cadillac / Sherbrooke),Mercier-Hochelaga-Maisonneuve,MH,27408411.8682898
6722,du Quesne / Pierre-de-Coubertin,Mercier-Hochelaga-Maisonneuve,MH,27408411.8682898
6723,26e avenue / Beaubien,Rosemont-La Petite-Patrie,RO,15886530.2734387
6724,Léa-Roback / Sir-Georges-Etienne-Cartier,Le Sud-Ouest,SO,18144269.4942672
6725,Métro Monk (Allard / Beaulieu),Le Sud-Ouest,SO,18144269.4942672
6726,Hamel / Sauvé,Ahuntsic-Cartierville,AC,25571187.4830152
6727,de la Sucrerie / Centre,Le Sud-Ouest,SO,18144269.4942672
6728,d'Outremont / Ogilvy,Villeray-Saint-Michel-Parc-Extension,VS,16477356.1380656
6729,St-André / Ste-Catherine,Ville-Marie,VM,21500631.743203
6730,35e avenue / Beaubien,Rosemont-La Petite-Patrie,RO,15886530.2734387
6731,28e avenue / Rosemont,Rosemont-La Petite-Patrie,RO,15886530.2734387
6732,Fortune / Wellington,Le Sud-Ouest,SO,18144269.4942672
6733,Villeray / de Normanville,Villeray-Saint-Michel-Parc-Extension,VS,16477356.1380656
6734,Lajeunesse / Villeray,Villeray-Saint-Michel-Parc-Extension,VS,16477356.1380656
6735,Villeray / St-Michel,Villeray-Saint-Michel-Parc-Extension,VS,16477356.1380656
6736,Métro Henri-Bourassa (Henri-Bourassa / Millen),Ahuntsic-Cartierville,AC,25571187.4830152
6737,Jacques-Casault / Christophe-Colomb,Ahuntsic-Cartierville,AC,25571187.4830152
6738,Union / René-Lévesque,Ville-Marie,VM,21500631.743203
6739,Pierre-de-Coubertin / Langelier,Mercier-Hochelaga-Maisonneuve,MH,27408411.8682898
6741,Canning / Notre-Dame,Le Sud-Ouest,SO,18144269.4942672
6742,St-Patrick / Briand,Le Sud-Ouest,SO,18144269.4942672
